Member Number,Animal Type,Animal Name,Gender,D.o.B,Primary Breed,Purpose,Status (if Cow),Acquisition,farming Type,Feeding & Milking Habits,Feed Type,Photograph Ref.
02443,Cattle,Kamburu,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
02444,Cattle,Amo 34,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02445,Cattle,Rark,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02451,Cattle,Scribe,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02452,Cattle,Good Boy,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02456,Cattle,Security,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02458,Cattle,Mary,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02459,Cattle,Tharuni ,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02462,Cattle,Rironi Kanini,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02464,Cattle,Duma,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02468,Cattle,Bater,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02469,Cattle,Motho,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
02470,Cattle,Junior,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
02471,Cattle,Kamandura,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02472,Cattle,Mwai,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02473,Cattle,Justina,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02477,Cattle,Reddi,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02479,Cattle,Runana,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02484,Cattle,Justice,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02485,Cattle,Hellena,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02487,Cattle,Karendi,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02490,Cattle,Jennifer,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02491,Cattle,Junior,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
02492,Cattle,Jata,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02493,Cattle,Kamburu,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02494,Cattle,Amo 34,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02497,Cattle,Rark,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02500,Cattle,Scribe,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02502,Cattle,Good Boy,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02503,Cattle,Security,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02507,Cattle,Mary,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02510,Cattle,Tharuni ,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02514,Cattle,Rironi Kanini,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02517,Cattle,Duma,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
02521,Cattle,Bater,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
02522,Cattle,Motho,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02525,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02527,Cattle,Kamandura,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02528,Cattle,Mwai,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02529,Cattle,Buster,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02530,Cattle,July,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02532,Cattle,Valentine,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02534,Cattle,Suzzana,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02535,Cattle,Tintin,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02537,Cattle,Justina,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
02539,Cattle,Reddi,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02544,Cattle,Runana,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02545,Cattle,Justice,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02547,Cattle,Hellena,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02548,Cattle,Karendi,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02549,Cattle,Jennifer,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02551,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02553,Cattle,Jata,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02557,Cattle,Kamburu,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02558,Cattle,Amo 34,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02559,Cattle,Rark,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
02561,Cattle,Scribe,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
02565,Cattle,Good Boy,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02566,Cattle,Security,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02570,Cattle,Mary,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02572,Cattle,Tharuni ,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02574,Cattle,Rironi Kanini,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02575,Cattle,Duma,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02578,Cattle,Bater,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02579,Cattle,Motho,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02581,Cattle,Junior,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02582,Cattle,Kamandura,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
02583,Cattle,Mwai,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02585,Cattle,Buster,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02586,Cattle,July,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02588,Cattle,Valentine,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02590,Cattle,Suzzana,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02594,Cattle,Tintin,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02596,Cattle,Champion,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02598,Cattle,Papaya,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02602,Cattle,Butter,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02609,Cattle,Galaher,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02611,Cattle,Gabriella,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
02612,Cattle,Junior,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
02616,Cattle,Kendi,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02618,Cattle,Mwai,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02622,Cattle,Buster,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02625,Cattle,July,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02632,Cattle,Valentine,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02633,Cattle,Suzzana,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02635,Cattle,Tintin,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02638,Cattle,Champion,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02640,Cattle,Papaya,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02643,Cattle,Butter,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
02644,Cattle,Galaher,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02647,Cattle,Pamela,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02651,Cattle,Justice,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02652,Cattle,Tele,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02655,Cattle,Tomboy,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02656,Cattle,Mischief,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02657,Cattle,Jennifer,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02665,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02669,Cattle,Jata,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02672,Cattle,Kamburu,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02675,Cattle,Amo 34,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
02676,Cattle,Rark,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
02682,Cattle,Scribe,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02692,Cattle,Good Boy,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02695,Cattle,Security,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02697,Cattle,Mary,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02699,Cattle,Tharuni ,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02701,Cattle,Rironi Kanini,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02703,Cattle,Duma,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02704,Cattle,Bater,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02707,Cattle,Motho,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02708,Cattle,Junior,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
02711,Cattle,Kamandura,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02714,Cattle,Mwai,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02719,Cattle,Justina,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02722,Cattle,Reddi,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02724,Cattle,Runana,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02725,Cattle,Justice,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02727,Cattle,Hellena,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02728,Cattle,Karendi,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02731,Cattle,Jennifer,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02737,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02738,Cattle,Jata,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
02741,Cattle,Kamburu,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
02748,Cattle,Amo 34,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02749,Cattle,Rark,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02750,Cattle,Scribe,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02753,Cattle,Good Boy,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02754,Cattle,Security,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02755,Cattle,Mary,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02757,Cattle,Tharuni ,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02761,Cattle,Rironi Kanini,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02765,Cattle,Duma,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02766,Cattle,Bater,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
02769,Cattle,Motho,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02774,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02775,Cattle,Kamandura,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02779,Cattle,Mwai,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02780,Cattle,Buster,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02783,Cattle,July,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02785,Cattle,Valentine,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02786,Cattle,Suzzana,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02787,Cattle,Tintin,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02790,Cattle,Champion,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02792,Cattle,Papaya,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
02804,Cattle,Butter,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
02806,Cattle,Galaher,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02807,Cattle,Gabriella,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02810,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02811,Cattle,Kendi,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02812,Cattle,Mwai,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02814,Cattle,Buster,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02819,Cattle,July,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02823,Cattle,Valentine,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02853,Cattle,Suzzana,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02854,Cattle,Tintin,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
02863,Cattle,Champion,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02864,Cattle,Papaya,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02866,Cattle,Butter,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02869,Cattle,Galaher,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02872,Cattle,Pamela,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02873,Cattle,Justice,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02878,Cattle,Tele,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02880,Cattle,Tomboy,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02881,Cattle,Mischief,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02885,Cattle,Jennifer,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02889,Cattle,Junior,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
02890,Cattle,Jata,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
02902,Cattle,Kamburu,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02906,Cattle,Amo 34,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02908,Cattle,Rark,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02911,Cattle,Scribe,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02914,Cattle,Good Boy,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02915,Cattle,Security,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02919,Cattle,Mary,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02920,Cattle,Tharuni ,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02928,Cattle,Rironi Kanini,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02929,Cattle,Duma,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
02931,Cattle,Bater,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02932,Cattle,Motho,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02933,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02935,Cattle,Kamandura,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02939,Cattle,Mwai,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02940,Cattle,Galaher,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02944,Cattle,Pamela,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02946,Cattle,Justice,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02948,Cattle,Tele,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02949,Cattle,Tomboy,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02950,Cattle,Mischief,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
02954,Cattle,Jennifer,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
02957,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02958,Cattle,Jata,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02959,Cattle,Kamburu,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02962,Cattle,Amo 34,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02963,Cattle,Rark,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02964,Cattle,Scribe,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02966,Cattle,Good Boy,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
02974,Cattle,Security,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02975,Cattle,Mary,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
02981,Cattle,Tharuni ,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
02982,Cattle,Rironi Kanini,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
02986,Cattle,Duma,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02988,Cattle,Bater,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
02989,Cattle,Motho,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
03001,Cattle,Junior,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
03002,Cattle,Kamandura,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03005,Cattle,Mwai,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03009,Cattle,Justina,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
03010,Cattle,Reddi,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
03012,Cattle,Runana,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03014,Cattle,Justice,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
03023,Cattle,Hellena,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
03024,Cattle,Karendi,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03025,Cattle,Jennifer,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03026,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03027,Cattle,Jata,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03028,Cattle,Kamburu,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03030,Cattle,Amo 34,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03032,Cattle,Rark,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
03033,Cattle,Scribe,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
03034,Cattle,Good Boy,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
03035,Cattle,Security,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
03037,Cattle,Mary,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
03038,Cattle,Tharuni ,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03039,Cattle,Rironi Kanini,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03042,Cattle,Duma,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
03044,Cattle,Bater,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
03045,Cattle,Motho,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03046,Cattle,Junior,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03047,Cattle,Kamandura,Female,,Freshian,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
03050,Cattle,Mwai,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
03052,Cattle,Buster,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03053,Cattle,July,Female,,Freshian,Milk,Dry,Birth,Zero,2xDay,"Grass, Suppliment",
03058,Cattle,Valentine,Female,,Freshian,Milk,Dry,Birth,Grazing,2xDay,"Grass, Suppliment",
03059,Cattle,Suzzana,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03065,Cattle,Tintin,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03073,Cattle,Justina,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03076,Cattle,Reddi,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03080,Cattle,Runana,Female,,Ayshire,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03091,Cattle,Justice,Female,,Red Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03094,Cattle,Hellena,Female,,Ayshire,Milk,Producing,Birth,Grazing,2xDay,"Grass, Suppliment",
03096,Cattle,Karendi,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
03097,Cattle,Jennifer,Female,,Freshian,Milk,Dry,Purchase,Zero,2xDay,"Grass, Suppliment",
03101,Cattle,Junior,Female,,Freshian,Milk,Dry,Purchase,Grazing,2xDay,"Grass, Suppliment",
03102,Cattle,Jata,Female,,Ayshire,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
03104,Cattle,Kamburu,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03105,Cattle,Amo 34,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03106,Cattle,Rark,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
03107,Cattle,Scribe,Female,,Freshian,Milk,Producing,Purchase,Zero,2xDay,"Grass, Suppliment",
03109,Cattle,Good Boy,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
03113,Cattle,Security,Female,,Freshian,Milk,Producing,Birth,Zero,2xDay,"Grass, Suppliment",
